perturb_value,algorithm,avg_latency_ms,success_rate,sla_violation_rate,node_utilization_avg
1,OURS,41.9,1.0,0.0,0.0
1,RLS,88.07,1.0,0.0,0.0002
1,FFD,130,1.0,0.0,0.0003
1,DRS,286.45,0.0,1.0,0.0002
1,LEGO,88.07,1.0,0.0,0.0002
1,GREEDY,130,1.0,0.0,0.0003
1,PSO,135,1.0,0.0,0.0003
1,STATIC,16.44,1.0,0.0,0.0
1,RESOURCE_FIRST,11.21,1.0,0.0,0.0
1,ACCURACY_FIRST,16.44,1.0,0.0,0.0
2,OURS,70.59,0.6667,0.3333,0.0002
2,RLS,382.31,0.4444,0.5556,0.0015
2,FFD,160,0.4444,0.5556,0.0023
2,DRS,524.85,0.0,1.0,0.0024
2,LEGO,76.59,0.8889,0.1111,0.001
2,GREEDY,220,0.4444,0.5556,0.0023
2,PSO,175,0.4444,0.5556,0.0023
2,STATIC,37.6,0.8889,0.1111,0.001
2,RESOURCE_FIRST,32.34,0.8889,0.1111,0.0009
2,ACCURACY_FIRST,37.6,0.8889,0.1111,0.001
3,OURS,78.21,0.8824,0.1176,0.0003
3,RLS,658.96,0.4706,0.5294,0.0062
3,FFD,270,0.2941,0.7059,0.0095
3,DRS,1235.01,0.0,1.0,0.0059
3,LEGO,85.17,1.0,0.0,0.0019
3,GREEDY,340,0.2941,0.7059,0.0095
3,PSO,280,0.2941,0.7059,0.0095
3,STATIC,399.66,0.7059,0.2941,0.0021
3,RESOURCE_FIRST,351.13,0.7059,0.2941,0.0021
3,ACCURACY_FIRST,399.66,0.7059,0.2941,0.0021
5,OURS,105.4,0.84,0.16,0.0005
5,RLS,919.43,0.36,0.64,0.0083
5,FFD,550,0.08,0.92,0.011
5,DRS,1558.65,0.0,1.0,0.0083
5,LEGO,136.85,0.72,0.28,0.0017
5,GREEDY,750,0.08,0.92,0.011
5,PSO,680,0.08,0.92,0.011
5,STATIC,540.21,0.68,0.32,0.0011
5,RESOURCE_FIRST,534.7,0.68,0.32,0.001
5,ACCURACY_FIRST,540.21,0.68,0.32,0.0011
8,OURS,260.44,0.8611,0.1389,0.0003
8,RLS,1256.68,0.1667,0.8333,0.0104
8,FFD,900,0.2222,0.7778,0.0125
8,DRS,1758.93,0.0278,0.9722,0.0072
8,LEGO,116.1,0.7222,0.2778,0.0025
8,GREEDY,1200,0.2222,0.7778,0.0125
8,PSO,1050,0.2222,0.7778,0.0125
8,STATIC,631.73,0.5,0.5,0.003
8,RESOURCE_FIRST,623.06,0.5,0.5,0.0029
8,ACCURACY_FIRST,631.73,0.5,0.5,0.003
12,OURS,400.06,0.9219,0.0781,0.0002
12,RLS,1479.39,0.1406,0.8594,0.02
12,FFD,1350,0.2344,0.7656,0.0194
12,DRS,1830.89,0.0156,0.9844,0.0096
12,LEGO,179.1,0.6406,0.3594,0.0027
12,GREEDY,1400,0.2344,0.7656,0.0194
12,PSO,1300,0.2344,0.7656,0.0194
12,STATIC,921.27,0.5469,0.4531,0.0021
12,RESOURCE_FIRST,918.21,0.5469,0.4531,0.002
12,ACCURACY_FIRST,921.27,0.5469,0.4531,0.0021
