Experiment,Variable_Value,Total_Delay_D,Avg_QoS_Q,Comp_Delay,Comm_Delay,Mem_Utilization,Penalty_Score
不同请求到达率,100,0.07248995284566669,3.4728149040162384,0.03822050840122224,0.03426944444444444,0.8771377511111111,0.0
不同请求到达率,200,0.07948848842746234,2.5077521687651747,0.05337350526247918,0.026114983164983167,0.90657534,1000.0
不同请求到达率,300,0.041755555425361406,2.85618751921802,0.017569444314250296,0.02418611111111111,0.9690295888888889,1000.0
不同请求到达率,400,0.0781897766246011,3.183098794434935,0.03872804749658625,0.03946172912801484,0.9784879044444444,0.0
不同请求到达率,500,2.5094630750517752,2.630962653994735,2.473969321332767,0.03549375371900827,0.9455251155555555,998368.5093911242
不同请求到达率,600,0.022344083728754772,2.0452806142199638,0.01389016764483869,0.008453916083916085,0.9348207977777778,1000.0
不同请求到达率,700,0.08917950235843045,2.4733051368853034,0.058078782161519765,0.031100720196910674,0.9823404377777778,1000.0
不同请求到达率,800,0.10392788659135146,2.6875260691161396,0.06798009871256358,0.03594778787878788,0.9599774733333334,1000.0
不同服务链长度,3,0.06257456212484994,2.4480153100620994,0.03537403083795501,0.027200531286894924,0.9736539355555556,0.0
不同服务链长度,4,0.08583780767167049,3.1220712867812797,0.04629616705919654,0.03954164061247394,0.9449096866666666,0.0
不同服务链长度,5,0.15887264658865102,3.966000728954131,0.10394116390466834,0.054931482683982694,0.9791919711111111,0.0
不同服务链长度,6,0.19103039201575933,4.837262145846196,0.1270113920157593,0.064019,0.9783510088888889,0.0
不同服务链长度,7,0.14438785520634073,5.266613578644411,0.06313840452606863,0.0812494506802721,0.9351794688888889,0.0
不同服务链长度,8,0.18441865825585727,6.21022712013303,0.09311754714474614,0.09130111111111112,0.9879929488888889,0.0
不同服务链长度,9,0.2303470698594246,6.9757850212111725,0.13197684763720238,0.09837022222222222,0.9839205177777778,0.0
不同服务链长度,10,0.1991905808328466,6.347253658796707,0.10865143599157676,0.09053914484126985,0.8788137111111111,1000.0
不同服务类型数,10,0.0765799902369847,3.278891823225508,0.03778738807904163,0.038792602157943064,0.9615273155555556,0.0
不同服务类型数,20,0.07448701788743142,2.6943648363808457,0.03737709725251079,0.037109920634920635,0.9470544377777778,1000.0
不同服务类型数,30,0.055519294246643786,2.470701117547664,0.026035481916998122,0.02948381232964566,0.9166271355555555,1000.0
不同服务类型数,40,0.0871965696493738,2.8639578542374275,0.046743236316040465,0.040453333333333334,0.9645999155555556,0.0
不同服务类型数,50,0.057834439825220754,2.6132146837026484,0.022876106491887413,0.03495833333333334,0.96850036,2000.0
不同服务类型数,60,0.010890437959348133,1.3570987399257406,0.010090437959348133,0.0007999999999999999,0.9539015555555556,8000.0
不同服务类型数,70,0.008550172727188103,0.5906465433942155,0.003073982250997627,0.0054761904761904765,0.9742510288888889,4000.0
不同服务类型数,80,0.027752887942491738,1.5430212653873456,0.007370745085348879,0.02038214285714286,0.9907906066666666,4000.0
