Scale,Algorithm,Total_Delay_D_mean,Total_Delay_D_std,Total_Delay_D_count,Avg_QoS_Q_mean,Avg_QoS_Q_std,Avg_QoS_Q_count,Comp_Delay_mean,Comp_Delay_std,Comp_Delay_count,Comm_Delay_mean,Comm_Delay_std,Comm_Delay_count,Mem_Utilization_mean,Mem_Utilization_std,Mem_Utilization_count,Penalty_Score_mean,Penalty_Score_std,Penalty_Score_count,Fitness_mean,Fitness_std,Fitness_count
large,cds-m,0.2565370586072357,0.06246748584748307,100,4.126324172922944,0.25539760178727194,100,0.2003166444925094,0.04967510765235617,100,0.056220414114726294,0.01754953876724804,100,0.35939645884166666,0.06756087823745348,100,0.0,0.0,100,2.8436388798867656,0.22966775438155052,100
large,drs,0.29545905734653133,0.054340647951556034,100,4.126324172922944,0.255397601787272,100,0.20031664449250935,0.04967510765235617,100,0.09514241285402195,0.008830635622330506,100,0.35939645884166666,0.06756087823745348,100,0.0,0.0,100,2.6490288861902873,0.22963078692938152,100
large,ffd-m,0.25894289217402605,0.0647693654493524,100,4.126324172922944,0.255397601787272,100,0.2003166444925094,0.049675107652356165,100,0.05862624768151664,0.019803889246719417,100,0.35939645884166666,0.06756087823745348,100,0.0,0.0,100,2.8316097120528134,0.2359334279543029,100
large,greedy-m,0.2944992013216236,0.052800012940872935,100,4.126324172922944,0.255397601787272,100,0.20031664449250935,0.04967510765235618,100,0.09418255682911422,0.009784643733369437,100,0.35939645884166666,0.06756087823745348,100,0.0,0.0,100,2.6538281663148258,0.23052615425625286,100
large,lego,0.2565370586072357,0.06246748584748307,100,4.126324172922944,0.25539760178727194,100,0.2003166444925094,0.04967510765235617,100,0.056220414114726294,0.01754953876724804,100,0.35939645884166666,0.06756087823745348,100,0.0,0.0,100,2.8436388798867656,0.22966775438155052,100
large,our,0.46764236406579096,0.06663799869381279,100,6.274535672408701,0.11263879682925723,100,0.38335993474134544,0.05736525453152542,100,0.08428242932444546,0.012995023475210542,100,0.6229657574083334,0.09773898759269861,100,0.0,0.0,100,3.9363238520797466,0.3872286001790541,100
large,random-m,0.2960292227302723,0.05168046163175058,100,4.126324172922944,0.255397601787272,100,0.20031664449250935,0.049675107652356186,100,0.09571257823776293,0.006813253311919091,100,0.35939645884166666,0.06756087823745348,100,0.0,0.0,100,2.6461780592715822,0.2236673529867012,100
medium,cds-m,0.07273137238074014,0.03543081470229115,100,2.4471651761525095,0.18334767935967358,100,0.07201918190454966,0.03399129194281706,100,0.0007121904761904763,0.0050515369694915675,100,0.10125686017333332,0.03149500553706021,100,0.0,0.0,100,2.083508314248809,0.2084095440210524,100
medium,drs,0.12740301810447754,0.036009090746378335,100,2.4471651761525095,0.18334767935967358,100,0.07201918190454965,0.03399129194281706,100,0.05538383619992789,0.008630552262213183,100,0.10125686017333332,0.03149500553706021,100,0.0,0.0,100,1.8101500856301218,0.22009927248907488,100
medium,ffd-m,0.07201918190454966,0.03399129194281706,100,2.4471651761525095,0.18334767935967358,100,0.07201918190454966,0.03399129194281706,100,0.0,0.0,100,0.10125686017333332,0.03149500553706021,100,0.0,0.0,100,2.087069266629761,0.20384338998318705,100
medium,greedy-m,0.1309755278928373,0.03331132941227789,100,2.4471651761525095,0.18334767935967358,100,0.07201918190454965,0.03399129194281706,100,0.058956345988287674,0.007055507779616159,100,0.10125686017333332,0.03149500553706021,100,0.0,0.0,100,1.792287536688323,0.20617951748498725,100
medium,lego,0.07273137238074014,0.03543081470229115,100,2.4471651761525095,0.18334767935967358,100,0.07201918190454966,0.03399129194281706,100,0.0007121904761904763,0.0050515369694915675,100,0.10125686017333332,0.03149500553706021,100,0.0,0.0,100,2.083508314248809,0.2084095440210524,100
medium,our,0.22876376189890948,0.055675457917812234,100,4.477040915772757,0.05321313126523713,100,0.20151561650474023,0.046332563430399515,100,0.027248145394169275,0.0137153306663,100,0.30115192430666665,0.05792243028883735,100,0.0,0.0,100,3.3332221062782095,0.32145444751191,100
medium,random-m,0.1258769538556278,0.03521683909560552,100,2.4471651761525095,0.1833476793596736,100,0.07201918190454965,0.03399129194281706,100,0.05385777195107816,0.008204361579521662,100,0.10125686017333332,0.03149500553706021,100,0.0,0.0,100,1.8177804068743706,0.21572100755725407,100
small,cds-m,0.002791823891476143,4.3224364877830205e-05,100,1.7502574746971933,0.028623368272936482,100,0.002791823891476143,4.3224364877830205e-05,100,0.0,0.0,100,0.00375574,0.0,100,0.0,0.0,100,1.7362983552398128,0.02854534281134926,100
small,drs,0.020465823891476144,0.00909198486736896,100,1.7502574746971933,0.028623368272936482,100,0.002791823891476143,4.3224364877830205e-05,100,0.017674000000000002,0.009103785648361515,100,0.00375574,0.0,100,0.0,0.0,100,1.6479283552398127,0.05445638231812838,100
small,ffd-m,0.002791823891476143,4.3224364877830205e-05,100,1.7502574746971933,0.028623368272936482,100,0.002791823891476143,4.3224364877830205e-05,100,0.0,0.0,100,0.00375574,0.0,100,0.0,0.0,100,1.7362983552398128,0.02854534281134926,100
small,greedy-m,0.028885823891476144,0.005537859724700614,100,1.7502574746971933,0.028623368272936482,100,0.002791823891476143,4.3224364877830205e-05,100,0.026094,0.005559845575938493,100,0.00375574,0.0,100,0.0,0.0,100,1.6058283552398125,0.04454481359526064,100
small,lego,0.002791823891476143,4.3224364877830205e-05,100,1.7502574746971933,0.028623368272936482,100,0.002791823891476143,4.3224364877830205e-05,100,0.0,0.0,100,0.00375574,0.0,100,0.0,0.0,100,1.7362983552398128,0.02854534281134926,100
small,our,0.058694384941081895,0.015432921530087112,100,2.7005211781515435,0.020580728143737546,100,0.058694384941081895,0.015432921530087112,100,0.0,0.0,100,0.05659546722222222,0.007721044879053601,100,0.0,0.0,100,2.407049253446134,0.07880163554665627,100
small,random-m,0.021029823891476146,0.009299086127248387,100,1.7502574746971933,0.028623368272936482,100,0.002791823891476143,4.3224364877830205e-05,100,0.018238,0.00930622448372132,100,0.00375574,0.0,100,0.0,0.0,100,1.645108355239813,0.05695748350429672,100
